Year,River,Fishery_Type,Coho_Harvest_Count
2012,Auke Creek,CAN_AllFisheries,0
2013,Auke Creek,AK_Gillnet (Drift & Set),69
2013,Auke Creek,AK_Other,0
2013,Auke Creek,AK_Seine,28
2013,Auke Creek,AK_Sport,27
2013,Auke Creek,AK_Troll,406
2013,Auke Creek,CAN_AllFisheries,0
2014,Auke Creek,AK_Gillnet (Drift & Set),107
2014,Auke Creek,AK_Other,0
2014,Auke Creek,AK_Seine,0
2014,Auke Creek,AK_Sport,21
2014,Auke Creek,AK_Troll,265
2014,Auke Creek,CAN_AllFisheries,0
2015,Auke Creek,AK_Gillnet (Drift & Set),14
2015,Auke Creek,AK_Other,0
2015,Auke Creek,AK_Seine,2
2015,Auke Creek,AK_Sport,17
2015,Auke Creek,AK_Troll,140
2015,Auke Creek,CAN_AllFisheries,0
2016,Auke Creek,AK_Gillnet (Drift & Set),49
2016,Auke Creek,AK_Other,0
2016,Auke Creek,AK_Seine,0
2016,Auke Creek,AK_Sport,0
2016,Auke Creek,AK_Troll,20
2016,Auke Creek,CAN_AllFisheries,0
2017,Auke Creek,AK_Gillnet (Drift & Set),19
2017,Auke Creek,AK_Other,0
2017,Auke Creek,AK_Seine,0
2017,Auke Creek,AK_Sport,14
2017,Auke Creek,AK_Troll,163
2017,Auke Creek,CAN_AllFisheries,0
2018,Auke Creek,AK_Gillnet (Drift & Set),105
2018,Auke Creek,AK_Other,0
2018,Auke Creek,AK_Seine,0
2018,Auke Creek,AK_Sport,18
2018,Auke Creek,AK_Troll,65
2018,Auke Creek,CAN_AllFisheries,0
2019,Auke Creek,AK_Gillnet (Drift & Set),104
2019,Auke Creek,AK_Other,0
2019,Auke Creek,AK_Seine,0
2019,Auke Creek,AK_Sport,6
