Year,River,Fishery_Type,Coho_Harvest_Count
2019,Auke Creek,AK_Troll,27
2019,Auke Creek,CAN_AllFisheries,0
1974,Berners River,AK_Gillnet (Drift & Set),4580.704918
1974,Berners River,AK_Other,0
1974,Berners River,AK_Seine,405.8852459
1974,Berners River,AK_Sport,0
1974,Berners River,AK_Troll,9161.409836
1974,Berners River,CAN_AllFisheries,0
1978,Berners River,AK_Gillnet (Drift & Set),4143.686824
1978,Berners River,AK_Other,0
1978,Berners River,AK_Seine,0
1978,Berners River,AK_Sport,0
1978,Berners River,AK_Troll,7208.21042
1978,Berners River,CAN_AllFisheries,0
1979,Berners River,AK_Gillnet (Drift & Set),1774.321462
1979,Berners River,AK_Other,0
1979,Berners River,AK_Seine,410.7606873
1979,Berners River,AK_Sport,94.92633818
1979,Berners River,AK_Troll,4892.119069
1979,Berners River,CAN_AllFisheries,0
1982,Berners River,AK_Gillnet (Drift & Set),10964.72409
1982,Berners River,AK_Other,0
1982,Berners River,AK_Seine,0
1982,Berners River,AK_Sport,0
1982,Berners River,AK_Troll,14139.74235
1982,Berners River,CAN_AllFisheries,0
1983,Berners River,AK_Gillnet (Drift & Set),6977.07722
1983,Berners River,AK_Other,0
1983,Berners River,AK_Seine,0
1983,Berners River,AK_Sport,420.9569676
1983,Berners River,AK_Troll,17176.46193
1983,Berners River,CAN_AllFisheries,0
1984,Berners River,AK_Gillnet (Drift & Set),NA
1984,Berners River,AK_Other,NA
1984,Berners River,AK_Seine,NA
1984,Berners River,AK_Sport,NA
1984,Berners River,AK_Troll,NA
1984,Berners River,CAN_AllFisheries,NA
1985,Berners River,AK_Gillnet (Drift & Set),7015.97401
1985,Berners River,AK_Other,0
1985,Berners River,AK_Seine,289.9523386
1985,Berners River,AK_Sport,0
1985,Berners River,AK_Troll,10861.48059
1985,Berners River,CAN_AllFisheries,0
1986,Berners River,AK_Gillnet (Drift & Set),8804.329471
1986,Berners River,AK_Other,0
1986,Berners River,AK_Seine,0
1986,Berners River,AK_Sport,565.684404
1986,Berners River,AK_Troll,13565.22992
1986,Berners River,CAN_AllFisheries,0
1987,Berners River,AK_Gillnet (Drift & Set),3317.157223
1987,Berners River,AK_Other,0
1987,Berners River,AK_Seine,0
1987,Berners River,AK_Sport,166.2250977
1987,Berners River,AK_Troll,7210.757033
1987,Berners River,CAN_AllFisheries,0
1988,Berners River,AK_Gillnet (Drift & Set),6196.486788
1988,Berners River,AK_Other,0
1988,Berners River,AK_Seine,167.4528225
1988,Berners River,AK_Sport,0
1988,Berners River,AK_Troll,6060.400329
1988,Berners River,CAN_AllFisheries,0
1989,Berners River,AK_Gillnet (Drift & Set),1664.529588
1989,Berners River,AK_Other,0
1989,Berners River,AK_Seine,0
1989,Berners River,AK_Sport,0
1989,Berners River,AK_Troll,10582.78989
1989,Berners River,CAN_AllFisheries,0
1990,Berners River,AK_Gillnet (Drift & Set),7350.590657
1990,Berners River,AK_Other,0
1990,Berners River,AK_Seine,183.8608217
1990,Berners River,AK_Sport,369.2722135
1990,Berners River,AK_Troll,15006.90656
1990,Berners River,CAN_AllFisheries,0
1991,Berners River,AK_Gillnet (Drift & Set),16639.54022
1991,Berners River,AK_Other,0
1991,Berners River,AK_Seine,284.6487783
1991,Berners River,AK_Sport,84.03103659
1991,Berners River,AK_Troll,6448.584819
1991,Berners River,CAN_AllFisheries,0
1992,Berners River,AK_Gillnet (Drift & Set),14678.98207
1992,Berners River,AK_Other,0
1992,Berners River,AK_Seine,508.3385561
1992,Berners River,AK_Sport,189.2598061
1992,Berners River,AK_Troll,15318.19469
1992,Berners River,CAN_AllFisheries,0
1993,Berners River,AK_Gillnet (Drift & Set),14281.6727
1993,Berners River,AK_Other,0
1993,Berners River,AK_Seine,165.8859205
1993,Berners River,AK_Sport,179.7282386
1993,Berners River,AK_Troll,19308.33479
1993,Berners River,CAN_AllFisheries,0
1994,Berners River,AK_Gillnet (Drift & Set),27909.14683
1994,Berners River,AK_Other,0
1994,Berners River,AK_Seine,1380.901158
1994,Berners River,AK_Sport,810.2829941
1994,Berners River,AK_Troll,27339.01799
1994,Berners River,CAN_AllFisheries,9.539432177
1995,Berners River,AK_Gillnet (Drift & Set),14869.17183
1995,Berners River,AK_Other,0
1995,Berners River,AK_Seine,24.90344475
1995,Berners River,AK_Sport,210.3846521
1995,Berners River,AK_Troll,8765.690758
1995,Berners River,CAN_AllFisheries,0
1996,Berners River,AK_Gillnet (Drift & Set),6434.071113
1996,Berners River,AK_Other,0
1996,Berners River,AK_Seine,234.4486623
1996,Berners River,AK_Sport,406.4488587
1996,Berners River,AK_Troll,10528.73004
1996,Berners River,CAN_AllFisheries,0
1997,Berners River,AK_Gillnet (Drift & Set),2253.769423
1997,Berners River,AK_Other,18
1997,Berners River,AK_Seine,231.3978932
1997,Berners River,AK_Sport,278.0002956
1997,Berners River,AK_Troll,2452.842308
1997,Berners River,CAN_AllFisheries,0
1998,Berners River,AK_Gillnet (Drift & Set),5222.935138
1998,Berners River,AK_Other,0
1998,Berners River,AK_Seine,394.5025358
1998,Berners River,AK_Sport,293.2535855
1998,Berners River,AK_Troll,10424.44756
1998,Berners River,CAN_AllFisheries,0
1999,Berners River,AK_Gillnet (Drift & Set),9571.587477
1999,Berners River,AK_Other,0
1999,Berners River,AK_Seine,199.6091994
1999,Berners River,AK_Sport,577.5524848
1999,Berners River,AK_Troll,12876.41192
1999,Berners River,CAN_AllFisheries,0
